,name,link,min_salary,max_salary,currency,source_site
37,"Data Science Intern, BCG GAMMA",https://hh.ru/vacancy/52076293?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
38,Data engineer (удаленно),https://hh.ru/vacancy/48095633?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
39,Data Scientist (Middle),https://hh.ru/vacancy/50630870?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
40,Data Scientist / Machine Learning Engineer,https://hh.ru/vacancy/48484577?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
41,Senior Data Scientist,https://hh.ru/vacancy/52075170?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
42,Data Scientist / Аналитик Data Science,https://hh.ru/vacancy/48709110?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
43,Data Scientist,https://hh.ru/vacancy/52048902?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
44,Junior Product Manager/Data Analyst,https://hh.ru/vacancy/51982020?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
45,Analyst Data Scientist,https://hh.ru/vacancy/51989247?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
46,Data Scientist в команду Navi,https://hh.ru/vacancy/51082649?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
47,Data Scientist,https://hh.ru/vacancy/52030987?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
48,Data Scientist в команду Navi,https://hh.ru/vacancy/51188178?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
49,Data Scientist,https://hh.ru/vacancy/52047296?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
50,Data Scientist,https://hh.ru/vacancy/48090484?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
51,Data Scientist в направление «Ценообразование»,https://hh.ru/vacancy/51649877?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
52,Data scientist,https://hh.ru/vacancy/52006250?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
53,Data scientist (проект Юла),https://hh.ru/vacancy/48303711?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
54,Data Scientist (Computer Vision),https://hh.ru/vacancy/52029411?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
55,Senior Data Scientist,https://hh.ru/vacancy/51040763?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
56,Риск-Аналитик (Data scientist),https://hh.ru/vacancy/51710019?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
57,Data Analyst / Data scientist (Analytics Team),https://hh.ru/vacancy/52120622?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
58,Аналітик SQL\Python (Data Scientist),https://hh.ru/vacancy/51380494?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
59,Data engineer/ Инженер по данным,https://hh.ru/vacancy/50138376?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=data%20scientist,,,,https://hh.ru
